scorer,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000
bodyparts,ankle1,ankle1,ankle1,knee1,knee1,knee1,hip1,hip1,hip1,hip2,hip2,hip2,knee2,knee2,knee2,ankle2,ankle2,ankle2,wrist1,wrist1,wrist1,elbow1,elbow1,elbow1,shoulder1,shoulder1,shoulder1,shoulder2,shoulder2,shoulder2,elbow2,elbow2,elbow2,wrist2,wrist2,wrist2,chin,chin,chin,forehead,forehead,forehead
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
8,631.2996215820312,620.0771484375,0.7673379778862,639.5820922851562,500.43365478515625,0.913455605506897,643.2063598632812,384.9693908691406,0.7557845115661621,700.7388305664062,385.5976867675781,0.7640388011932373,691.3660278320312,497.6485595703125,0.9091417193412781,673.1578369140625,600.8580322265625,0.9774029850959778,589.1326293945312,383.4744873046875,0.9656674265861511,608.83154296875,293.0244140625,0.9762041568756104,633.4229736328125,207.42433166503906,0.9903621673583984,746.9026489257812,212.6586456298828,0.9915391802787781,758.1924438476562,304.0015563964844,0.9845457077026367,752.8329467773438,387.55023193359375,0.9820607900619507,693.9563598632812,169.87203979492188,0.9967303276062012,699.1875610351562,107.16132354736328,0.9907686114311218
9,632.5897216796875,619.3896484375,0.8439576029777527,641.3551635742188,500.7457580566406,0.9180633425712585,643.4856567382812,380.42462158203125,0.7400078177452087,703.1878662109375,386.229736328125,0.7424042224884033,691.526123046875,497.59857177734375,0.9049749374389648,672.480712890625,601.9078369140625,0.9767127633094788,588.7315063476562,385.56689453125,0.9600676894187927,609.388916015625,292.1304016113281,0.9740669131278992,632.5136108398438,208.4486846923828,0.9887640476226807,746.3583984375,213.45364379882812,0.9907893538475037,758.7431640625,304.1376647949219,0.9832344055175781,755.7638549804688,385.5533447265625,0.9825975298881531,692.9442749023438,170.8411407470703,0.9973827004432678,697.1910400390625,108.02662658691406,0.9885053038597107
10,634.1425170898438,620.4236450195312,0.7172954678535461,641.2874755859375,499.95831298828125,0.8984006643295288,642.5552978515625,381.3229064941406,0.7526697516441345,703.1119384765625,387.0565490722656,0.7662249803543091,690.703369140625,498.6326599121094,0.9124836325645447,671.6499633789062,601.6888427734375,0.9767085909843445,588.7813720703125,385.2176818847656,0.9676036834716797,608.5693359375,295.07427978515625,0.9620840549468994,630.73779296875,210.00369262695312,0.9853165745735168,745.4912719726562,214.7673797607422,0.9886252880096436,758.64892578125,304.6661376953125,0.9881517291069031,758.01708984375,381.845947265625,0.9873424768447876,691.6436767578125,171.99745178222656,0.9973143935203552,696.513427734375,109.9578857421875,0.984310507774353
11,635.6441040039062,627.826904296875,0.8069483041763306,641.3585205078125,502.0619201660156,0.8789933323860168,641.8019409179688,385.0685729980469,0.7770509123802185,702.7496948242188,387.39105224609375,0.8040773272514343,690.7900390625,497.4607849121094,0.9082494378089905,671.029052734375,601.7239379882812,0.9790573120117188,589.0796508789062,385.9669494628906,0.9743958711624146,608.2109985351562,295.71221923828125,0.9600563049316406,630.061279296875,210.62123107910156,0.9886767864227295,744.941162109375,215.50372314453125,0.9860593676567078,760.60986328125,305.4278259277344,0.9881566166877747,759.2339477539062,381.9504089355469,0.9864450097084045,690.5866088867188,173.04063415527344,0.9964041709899902,694.6398315429688,111.24177551269531,0.9860451817512512
12,636.1757202148438,631.0369262695312,0.3787749707698822,640.1397094726562,500.2379455566406,0.6760459542274475,641.4266357421875,386.3854675292969,0.7723785042762756,701.7719116210938,387.6166076660156,0.7950899004936218,690.881103515625,498.8247375488281,0.890565812587738,670.56201171875,600.7501220703125,0.9782502055168152,589.2037963867188,387.35516357421875,0.9716843962669373,607.9332885742188,297.0995178222656,0.9585442543029785,629.0761108398438,212.4647979736328,0.9920179843902588,744.4970703125,216.1451416015625,0.9822593927383423,761.7062377929688,305.0358581542969,0.9880779385566711,763.4902954101562,377.9105529785156,0.9882045984268188,689.562744140625,173.76341247558594,0.9951475262641907,692.9324951171875,111.79642486572266,0.9893561005592346
13,637.6058349609375,632.6550903320312,0.6036340594291687,641.0831909179688,500.6958312988281,0.8431315422058105,641.1854858398438,387.4563903808594,0.7715071439743042,701.8804321289062,388.5343322753906,0.8054967522621155,690.4722290039062,498.16839599609375,0.8778571486473083,670.658447265625,599.6455078125,0.9741562008857727,589.6029663085938,388.1405334472656,0.9640365242958069,607.5488891601562,298.9076232910156,0.9655386209487915,628.6323852539062,214.1541290283203,0.9922019243240356,743.8953857421875,215.80030822753906,0.9813868403434753,764.522705078125,304.04534912109375,0.9836313724517822,766.7420043945312,378.57476806640625,0.9891420602798462,688.4325561523438,174.91603088378906,0.992576003074646,690.7529907226562,112.8961181640625,0.9901262521743774
14,638.5762939453125,636.6953125,0.3667337894439697,641.5161743164062,508.48834228515625,0.7103391289710999,641.59375,388.9268493652344,0.7765903472900391,704.1364135742188,389.8583679199219,0.7788918614387512,691.0653686523438,500.15966796875,0.7881766557693481,670.8860473632812,598.9268188476562,0.9693292379379272,589.6097412109375,389.4785461425781,0.9709247350692749,607.498779296875,297.9911804199219,0.9462730288505554,627.3074951171875,214.29312133789062,0.9926192164421082,742.6287231445312,215.748046875,0.9819505214691162,766.214111328125,302.162353515625,0.9834798574447632,770.5947875976562,376.22613525390625,0.9931175708770752,687.2705688476562,175.38772583007812,0.9937718510627747,688.3311767578125,113.44144439697266,0.989461362361908
15,638.041748046875,645.0843505859375,0.3079611361026764,641.596435546875,508.6713562011719,0.7180347442626953,639.8704223632812,392.95068359375,0.781710147857666,704.0332641601562,389.33331298828125,0.7139616012573242,691.3041381835938,500.2180480957031,0.7755507230758667,671.7789306640625,597.9338989257812,0.9739311337471008,589.021728515625,390.6999816894531,0.969174325466156,605.9845581054688,299.1788024902344,0.9605876207351685,624.5775756835938,216.6019744873047,0.988310694694519,739.8412475585938,215.16018676757812,0.9855567812919617,767.3682861328125,301.49395751953125,0.9865795969963074,773.97705078125,373.3212890625,0.9931814074516296,684.2281494140625,174.83633422851562,0.9943155646324158,685.5264282226562,113.28823852539062,0.9910240173339844
16,639.4157104492188,637.9129638671875,0.14646904170513153,641.8033447265625,502.9799499511719,0.7456678748130798,636.7960815429688,394.0258483886719,0.802297830581665,702.1376953125,394.15338134765625,0.6794514656066895,691.2501220703125,499.9358215332031,0.8344284892082214,672.4223022460938,594.5111694335938,0.9615219831466675,585.9374389648438,390.56304931640625,0.9609552621841431,603.228515625,299.8550109863281,0.9730018377304077,622.1098022460938,216.90565490722656,0.9875088334083557,737.750732421875,214.02528381347656,0.9844180345535278,767.1251831054688,300.7921142578125,0.9843589067459106,777.4094848632812,373.463134765625,0.9949147701263428,680.4164428710938,174.09214782714844,0.9945344924926758,680.142822265625,112.68633270263672,0.9849379062652588
17,637.6226196289062,532.4840087890625,0.15735609829425812,640.9321899414062,500.2856750488281,0.5583921670913696,639.5288696289062,388.1683044433594,0.7361690402030945,703.5739135742188,388.6664123535156,0.7007361650466919,691.6913452148438,495.19818115234375,0.8246141076087952,673.1581420898438,590.0068969726562,0.9668607711791992,582.7281494140625,394.1589050292969,0.9338604807853699,599.3623657226562,300.26715087890625,0.9750890135765076,617.95361328125,216.28985595703125,0.9917607307434082,736.5126342773438,213.37095642089844,0.9813258647918701,768.0452880859375,300.0434875488281,0.9808366894721985,779.38330078125,374.7405700683594,0.991305410861969,676.2955932617188,173.458984375,0.9965406060218811,675.4284057617188,111.37823486328125,0.9837559461593628
